disease,step,rr_mean,rr_lci,rr_uci
cancer,3880,0.970590772898576,0.941870882953482,0.999888875453877
cancer,3890,0.970485853440251,0.941659768846795,0.999888985260741
cancer,3900,0.970380933981926,0.941448654740108,0.999889095067604
cancer,3910,0.970276014523602,0.941237540633421,0.999889204874468
cancer,3920,0.970171095065277,0.941026426526734,0.999889314681332
cancer,3930,0.970066175606952,0.940815312420046,0.999889424488195
cancer,3940,0.969961256148627,0.940604198313359,0.999889534295059
cancer,3950,0.969856336690303,0.940393084206672,0.999889644101923
cancer,3960,0.969751417231978,0.940181970099985,0.999889753908787
cancer,3970,0.969646497773653,0.939970855993298,0.999889863715651
cancer,3980,0.969541578315329,0.939759741886611,0.999889973522514
cancer,3990,0.969436658857004,0.939548627779924,0.999890083329378
cancer,4000,0.969331739398679,0.939337513673236,0.999890193136242
cancer,4010,0.969226819940354,0.939126399566549,0.999890302943106
cancer,4020,0.96912190048203,0.938915285459862,0.999890412749969
cancer,4030,0.969016981023705,0.938704171353175,0.999890522556833
cancer,4040,0.96891206156538,0.938493057246488,0.999890632363697
cancer,4050,0.968807142107055,0.938281943139801,0.99989074217056
cancer,4060,0.968702222648731,0.938070829033114,0.999890851977424
cancer,4070,0.968597303190406,0.937859714926427,0.999890961784288
cancer,4080,0.968492383732081,0.937648600819739,0.999891071591152
cancer,4090,0.968387464273757,0.937437486713052,0.999891181398016
cancer,4100,0.968282544815432,0.937226372606365,0.999891291204879
cancer,4110,0.968177625357107,0.937015258499678,0.999891401011743
cancer,4120,0.968072705898782,0.936804144392991,0.999891510818607
cancer,4130,0.967967786440458,0.936593030286304,0.999891620625471
cancer,4140,0.967862866982133,0.936381916179617,0.999891730432335
cancer,4150,0.967757947523808,0.93617080207293,0.999891840239198
cancer,4160,0.967653028065483,0.935959687966242,0.999891950046062
cancer,4170,0.967548108607159,0.935748573859555,0.999892059852926
cancer,4180,0.967443189148834,0.935537459752868,0.99989216965979
cancer,4190,0.967338269690509,0.935326345646181,0.999892279466653
cancer,4200,0.967233350232185,0.935115231539494,0.999892389273517
cancer,4210,0.96712843077386,0.934904117432807,0.999892499080381
cancer,4220,0.967023511315535,0.93469300332612,0.999892608887244
